cycle,capacity,SoH,R,CCCT,CVCT
1,1.126384507,0.825174979,0.094009422,6613.059052,2251.498033
2,1.126159816,0.815965106,0.091661021,6612.4028,2231.967052
3,1.125965708,0.815976985,0.094648689,6608.560673,2228.216959
4,1.118507686,0.825193911,0.091412842,6604.732222,2247.561061
5,1.117210075,0.806900151,0.091412842,6629.211049,2077.692393
6,1.113753551,0.797717083,0.088416383,6619.934535,2042.678389
7,1.098818144,0.80681849,0.092305116,6519.983304,2166.889987
8,1.096180326,0.797619139,0.093030766,6455.685388,2159.858662
9,1.08987113,0.797626659,0.090849862,6427.498205,2151.903193
10,1.087582295,0.788453979,0.091578141,6405.686007,2144.327434
11,1.094747895,0.797704415,0.090685725,6392.936185,2104.736813
12,1.095568286,0.788537508,0.089794911,6467.884833,2019.661806
13,1.095432918,0.78853302,0.08898595,6483.685024,1983.587687
14,1.095223222,0.788572509,0.08744695,6488.046997,1969.242196
15,1.094804056,0.779400763,0.08744695,6489.313993,1959.570996
16,1.094444882,0.779435624,0.086872682,6492.238835,1934.775282
17,1.094044211,0.779426896,0.087526016,6494.006026,1922.338226
18,1.093461422,0.779435712,0.087368026,6493.727088,1911.620217
19,1.092733219,0.779431057,0.088097483,6489.351768,1905.245127
20,1.088853679,0.779429823,0.086637259,6486.415079,1900.432855
21,1.088381413,0.779420883,0.086637259,6482.556867,1898.245624
22,1.087994962,0.779467749,0.085905157,6479.276517,1887.777287
23,1.087629019,0.779460665,0.087368026,6477.371357,1880.70009
24,1.087233549,0.779442616,0.085017867,6476.982651,1870.512688
25,1.08679975,0.77944237,0.086559057,6472.948505,1871.075265
26,1.086397688,0.779468603,0.086559057,6467.857552,1870.762968
27,1.07646084,0.770195378,0.087368026,6462.951588,1843.574529
28,1.068281322,0.770134385,0.089876033,6327.288716,2020.846216
29,1.06187103,0.779297131,0.089794911,6286.11199,2028.892631
30,1.060449954,0.770141649,0.089957289,6254.017459,2053.235307
31,1.059070352,0.770112795,0.091412842,6235.032733,2054.469419
32,1.068431632,0.779360619,0.088256642,6243.658904,1999.020468
33,1.069764576,0.770220351,0.08898595,6331.608343,1931.726437
34,1.061246736,0.761003077,0.086559057,6351.002998,1917.071365
35,1.052803839,0.770123399,0.090685725,6234.596401,2050.59472
36,1.051496984,0.76095265,0.089876033,6191.328954,2066.250257
37,1.050788537,0.770114121,0.089227542,6177.485181,2067.547146
38,1.049771042,0.770108218,0.090603873,6165.953764,2072.078002
39,1.059165526,0.770163439,0.090685725,6173.891699,2017.800446
40,1.060456277,0.761049156,0.08898595,6266.07618,1950.490852
41,1.057632133,0.751852469,0.088176988,6286.531358,1932.492118
42,1.048273703,0.770108296,0.089308366,6186.923483,2074.296834
43,1.043392805,0.770084247,0.090685725,6137.297759,2071.281029
44,1.042916764,0.770112835,0.089957289,6133.34506,2067.890614
45,1.042017256,0.760917478,0.090767719,6126.939105,2072.28127
46,1.04972441,0.760989704,0.089957289,6106.922548,2107.015414
47,1.051906223,0.761020613,0.08898595,6201.511471,1969.880707
48,1.056326663,0.751887641,0.088176988,6229.515004,1947.444562
49,1.041467215,0.760933155,0.090603873,6187.191529,2057.422642
50,1.041002884,0.760940648,0.090603873,6111.017508,2061.141001
51,1.040485113,0.76092502,0.090603873,6102.220792,2065.547245
52,1.039212144,0.760923686,0.089876033,6094.986453,2066.484451
53,1.086998241,0.779321178,0.088336438,6108.456892,2071.734617
54,1.08060739,0.788447779,0.089794911,6386.261926,2111.295957
55,1.086749406,0.77019391,0.088176988,6410.006133,2003.973292
56,1.086558905,0.779398198,0.086559057,6435.72988,1973.271914
57,1.077421786,0.779312173,0.08898595,6394.773987,2045.017111
58,1.070168259,0.770133985,0.089794911,6318.795221,2107.999522
59,1.068724015,0.779304628,0.08898595,6288.87445,2090.984102
60,1.059973758,0.779222688,0.091495417,6232.514196,2175.793751
61,1.060902188,0.770099693,0.088496469,6205.437337,2127.531194
62,1.05967818,0.779282341,0.091495417,6215.831637,2127.281375
63,1.051177013,0.779239264,0.092305116,6183.549514,2163.231579
64,1.050114387,0.779221138,0.0939245,6113.902747,2208.074383
65,1.044345654,0.770054961,0.092305116,6109.012407,2189.605823
66,1.043579684,0.770054855,0.091495417,6101.21566,2174.044058
67,1.04143387,0.779219574,0.092472181,6077.325565,2212.699186
68,1.042326438,0.770060984,0.091578141,6059.014559,2192.731788
69,1.041955783,0.770088724,0.092305116,6080.251493,2174.216996
70,1.034641963,0.7608825,0.093030766,6076.049144,2160.138485
71,1.033443463,0.770038434,0.0939245,6013.43565,2237.167409
